timestamp,log_level,message
2024-09-16 14:32:45,INFO,User successfully logged in
2024-09-16 15:32:45,INFO,User login was successful
2024-09-16 15:38:45,INFO,Successful user login
2024-09-16 15:48:45,INFO,User has logged in successfully
2024-09-16 16:00:12,ERROR,Low disk space on main server
2024-09-16 16:05:12,ERROR,Insufficient disk space on server
2024-09-16 19:34:12,ERROR,Disk space critically low on main server
2024-09-16 20:05:12,ERROR,Server disk space is low
2024-09-16 23:35:21,WARNING,Memory usage is unusually high
2024-09-17 14:35:21,WARNING,High usage of memory detected
2024-09-18 14:35:21,WARNING,Detected high memory consumption 
2024-09-19 14:35:21,WARNING,High memory utilization noted
2024-09-21 14:40:05,INFO,User logged out successfully
2024-09-23 14:40:05,INFO,User logged out with no issues
2024-09-23 14:45:05,INFO,Logout by user completed
2024-09-24 14:40:05,INFO,User logout was successful
2024-09-25 15:00:00,ERROR,Disk space running critically low
2024-09-27 15:00:00,ERROR,Severe disk space issue on server
2024-09-28 15:00:00,ERROR,Server is critically low on disk space
2024-09-28 15:05:00,ERROR,Disk space is critically low on server
